publish_date,sentiment,model,model_version,article_hash,raw_response
2025-04-15,Mixed,anthropic,claude-3-5-sonnet-20241022,2dc2ceaef4b0dc4779b920546de8df7a,Mixed
2025-05-30,"May 30, 2025, 9:16 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,1a9d73972734d9c9fa5e8ab7adee5240,"Bullish. Key indicators: positive index values (+0.40%, +0.28%, +0.39%), progress on inflation (PCE as expected), and strong corporate earnings (Ulta Beauty up 9.3%)."
2025-06-02,"June 2, 2025, 9:16 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,6362e54c80cc0a1b980d44c4ad1b7dd9,"Mixed. Key indicators: Dow Jones up 0.13%, Nasdaq down 0.32%, and S&P 500 (implied by first index) down 0.01%, showing conflicting market directions amid trade tension concerns."
2025-06-03,"June 3, 2025, 9:23 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,5d8aa07ccd026d1861a4db337f57eaf4,"Bearish. Global growth forecast cut, China manufacturing decline, trade fears and tariffs weighing on markets."
2025-06-04,"June 4, 2025, 9:23 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,d14ea3f81234b18b1e97e5cae2cfd00a,"Mixed. Key indicators include weak ADP jobs report (only 37,000 positions added vs 115,000 expected), stocks initially rising toward three-month highs but losing momentum, and concerns about US-China trade tensions with increased tariffs."
2025-06-05,"June 5, 2025, 9:20 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,1bdfd953d5cdbea547515667c18040e3,"Mixed. Key indicators: Major indexes showing divergent performance (Nasdaq +0.01%, Dow -0.22%, S&P +0.32%), rising jobless claims suggesting labor market softening, and market reactions to Trump-Xi call offsetting earlier negative sentiment."
2025-06-06,"June 6, 2025, 9:23 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,d240e3aaf487cc8fd2000b0b02911601,"Mixed. Key indicators: 1) Jobs growth remained positive at 139,000 but with downward revisions to previous months, 2) Market indices showing slight declines (NASDAQ -0.53%, Dow -0.25%) despite post-jobs report gains."
2025-06-09,"June 9, 2025, 9:08 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,1a91330e424cbe6937bd0365cbbe5dfb,"Bullish. Key indicators: 1) Major indices showing gains of 1%+ (S&P, Dow, Nasdaq), 2) Better-than-expected May jobs growth, 3) Analyst prediction of S&P 500 testing all-time high."
2025-06-10,"June 10, 2025, 9:05 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,f045b27b078af717002ec018b0341c8d,"Mixed. Key indicators: Major indexes showing minimal movement (NASDAQ +0.09%, Dow -0.00%, S&P 500 +0.31%), ongoing trade talks between US-China with uncertain outcomes, and investor caution ahead of tomorrow's CPI data and Fed meeting."
2025-06-12,"June 12, 2025, 9:05 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,ace91078863b958f4789dea443520fc4,"Bearish. Negative market indicators include declining indices (NASDAQ, S&P), rising tensions in Middle East, and tariff concerns with China despite softer inflation data."
2025-06-13,"June 13, 2025, 9:08 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,bb9343d4440293a601558206a5ab5748,"Bullish. Nasdaq-100 trading above 200-day moving average, potential bullish technical signal with 50-day moving average approaching 200-day crossover, major indexes showing positive gains (+0.24% to +0.38%)."
2025-06-16,"June 16, 2025, 9:10 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,581b2f8f6ce1a1de7189c57be47c0512,"Bearish. Key indicators: major indexes showing significant declines (-1.13% to -1.79%), Middle East tensions affecting oil markets, and heavy selling reported from previous Friday."
2025-06-17,"June 17, 2025, 9:09 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,23aa3964de5021de222517f1a94aba7b,"Mixed. Retail sales data showed conflicting signals with overall sales down 0.9% (worse than expected) but the GDP-relevant ""control group"" up 0.4% (better than expected). Geopolitical tensions in the Middle East created market uncertainty, with stocks falling but oil prices rising."
2025-06-18,"June 18, 2025, 9:10 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,43f1f66ad88ddf52f8e8b8d312ab2454,"Mixed. Indicators include market edging up in early trading but previous day's decline, geopolitical tensions with Iran affecting sentiment, and uncertainty around Fed rate cut projections despite economic slowdown signals."
2025-06-20,"June 20, 2025, 9:19 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,bad64d496e6c64c92d8a20dcaa7b7cab,"Mixed. Key indicators: 1) Conflicting market movements with some indices down (Nasdaq, Dow) and others up (S&P 500), 2) Fed's mixed signals with unchanged rates but potential July cuts mentioned by Governor Waller."
2025-06-23,"June 23, 2025, 9:04 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,d3dd6a1df8ee84b4c4f1ffa69afb020d,"Mixed. Conflicting indicators include market shrugging off Iran tensions despite rising VIX (22), stocks recovering early losses despite three straight days of S&P 500 decline, and crude oil surrendering overnight gains despite Middle East conflict."
2025-06-25,"June 25, 2025, 9:07 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,344946808c0d621982343f3619a8fcb7,"Bullish. Major indices showing significant gains (1.11%-1.43%), tech sector reaching record highs, and improved risk appetite across multiple sectors."
2025-06-26,"June 26, 2025, 9:14 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,f836677ac2396bf19df3b9953b3899b5,"Bullish. Major indexes rising (S&P 500 approaching all-time highs, Dow up 1.19%), semiconductor stocks gaining on positive Micron earnings, and durable goods orders showing surprising strength."
2025-06-27,"June 27, 2025, 9:10 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,b6a717d8eeedc2b79724f1eb252b43bb,"Bullish. Rising major indices (+0.80% to +0.97%), broad market rally approaching record highs, and positive semiconductor sector performance despite mixed inflation data."
2025-06-30,"June 30, 2025, 9:14 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,82852cdce7fb59fd26a149709fdeb6d1,"Bullish. Record highs for S&P 500, positive market momentum erasing previous losses, improved investor sentiment with reduced fear and uncertainty."
2025-07-01,"July 1, 2025, 9:12 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,56517c4388caf8ae67877de1903803f1,"Bullish. Rising major indexes, fresh all-time highs, and positive market momentum despite political uncertainty."
2025-07-02,"July 2, 2025, 9:13 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,e336b7c80c25ed41346f23a397e0ad00,"Bearish. Key indicators: weak jobs data (33,000 decline in private-sector jobs), rising Treasury yields despite weak economic data, and continuing jobless claims at three-year highs."
2025-07-03,"July 3, 2025, 9:23 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,92fa70c7edaa3ad6fad283c56c143651,"Mixed. Key indicators: S&P 500 and Nasdaq reaching record highs (bullish), but VIX remains elevated above 18 (cautious), and mixed index performance with Nasdaq up 0.94% while Dow down 0.02%."
2025-07-07,"July 7, 2025, 9:06 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,19e33cd82547114e4819b6ca7a09f108,"Mixed. Market sentiment shows conflicting signals with stocks retreating due to tariff worries despite indexes reaching all-time highs last week. Treasury Secretary's comments about upcoming deals provided some optimism, but uncertainty remains about the July 10 tariff deadline."
2025-07-08,"July 8, 2025, 9:02 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,bd7e991b43d9ea41ea690e18cff17fd7,"Mixed. Treasury yields climbing to two-week highs and tariff concerns causing Monday's sell-off indicate bearish pressure, while the delay in tariff implementation and ""buy the dip"" pattern suggest some bullish sentiment remains."
2025-07-09,"July 9, 2025, 9:09 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,39bfafa893e6a2f77927513278a50fd6,"Mixed. Key indicators include: 1) Stocks ticked higher on trade deal hopes with EU, but 2) Treasury auction demand concerns and high U.S. debt levels create uncertainty."
2025-07-10,"July 10, 2025, 9:18 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,26c40d8c93841aaae632cd0addce593e,"Bullish. Major indexes rising (Nasdaq at all-time high), positive airline earnings from Delta, and low volatility (VIX below 16)."
2025-07-11,"July 11, 2025, 9:12 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,c5e522344942d8dedbec5d5a6ddb038d,"Bearish. Tariffs on imports from Canada, Brazil, and potential EU tariffs raising inflation concerns. Market indexes falling in early trading despite previous record highs."
2025-07-14,"July 14, 2025, 9:04 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,84eb4d7bcf67877c8d0e22304415ac43,"Mixed. Key indicators: 1) Stocks retreating due to tariff threats, 2) Treasury yields edging up amid inflation concerns, 3) Bank shares rising despite broader market weakness."
2025-07-15,"July 15, 2025, 9:12 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,0cf293943e6825e14381a56664447d09,"Bullish. Key indicators: 1) Major indexes showing positive gains (+0.14% to +0.27%), 2) Lower-than-expected core CPI growth setting stage for potential September rate cuts."
2025-07-16,"July 16, 2025, 9:08 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,de55128b83fe693f1331089e66256c0d,"Mixed. Key indicators include: 1) Healthy bank earnings from Goldman Sachs and Morgan Stanley, 2) Flat PPI data suggesting continued disinflation, 3) Tech sector weakness with ASML's disappointing outlook offsetting yesterday's gains."
2025-07-17,"July 17, 2025, 9:08 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,8108aabe2316f26efea982e147ea9630,"Bullish. Key indicators: positive retail sales growth (0.6% vs 0.2% expected), declining jobless claims (three-month low), and continued consumer spending despite uncertainty."
2025-07-18,"July 18, 2025, 9:14 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,fa03ba4adb301b616d99a5fa73143954,"Bullish. Key indicators: 1) Major indices showing positive gains (S&P 500, Nasdaq at new highs), 2) Broad market rally with upside earnings surprises, 3) Improved retail sales and housing data suggesting economic strength."
2025-07-21,"July 21, 2025, 9:17 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,f721502299e540686b7cdb694bd73768,"Mixed. Key indicators include positive earnings results and consumer spending, but concerns about tariffs and potential market volatility due to trade tensions with EU and Japan."
2025-07-22,"July 22, 2025, 9:10 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,aa602f07577a7a890e45c6de61bf95e9,"Mixed. Key indicators include: 1) Major indexes not straying far from previous closing levels, 2) Some companies reporting setbacks (Lockheed Martin, Philip Morris, Coca-Cola, GM) while Monday saw indexes reach all-time highs, 3) Slowing upward momentum with hesitance ahead of key earnings and Fed meeting."
2025-07-23,"July 23, 2025, 9:10 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,eb1f2527669e451cc7ca637691f098f8,"Mixed. Key indicators: S&P 500 reached 11th record high of 2025 (+0.06%), but Nasdaq win streak ended. Texas Instruments plunged 10% despite earnings beat, while major indexes got early boost from Japan trade deal news."
2025-07-24,"July 24, 2025, 9:17 a.m. ET",Bullish,anthropic,claude-3-7-sonnet-20250219,d8ee85887846cc933820aa0aa7cb4c47,"Bullish. Major indexes rising (Nasdaq above 21,000, Dow near all-time high), strong earnings reports, and resilient economic data (jobless claims at three-month low)."
2025-07-25,"July 25, 2025, 9:14 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,949d020950497892e4cc181334ebb2c2,"Mixed. Key indicators: S&P 500 and Nasdaq reached new all-time highs, but Dow Jones declined 0.70%, and Intel experienced a post-earnings plunge."
2025-07-28,"July 28, 2025, 9:11 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,af3aea6b68f1e804b30fc18210606e3c,"Mixed. Trade deal with EU reduces uncertainty but 15% tariffs still higher than previous 3% levels. Improved market breadth shows broad rally, but upcoming Fed meeting and earnings reports create uncertainty."
2025-07-30,"July 30, 2025, 9:13 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,d484653022fdd8c91883a6cb8b428bf0,"Mixed. Job market indicators show slowing openings but low layoffs, suggesting stagnation. GDP growth exceeded expectations at 3%, but was influenced by falling imports rather than organic growth. Market awaits Fed decision with uncertainty about potential rate cuts."
2025-07-31,"July 31, 2025, 9:17 a.m. ET",Mixed,anthropic,claude-3-7-sonnet-20250219,ced04d8c6d50bc2a0e699ecf10b3bcdd,"Mixed. Conflicting earnings reports from tech giants (Microsoft and Meta positive, but Apple and Amazon pending), hawkish Fed stance reducing rate cut expectations, and declining major indexes for two consecutive sessions."
2025-08-01,"August 1, 2025, 9:12 a.m. ET",Bearish,anthropic,claude-3-7-sonnet-20250219,bc617ba99972b9672de2b92b118001cb,"Bearish. Key indicators: declining major indexes (S&P 500, Dow Jones), weak jobs report (73,000 vs 102,000 expected), and negative market reaction to Trump's new tariff announcements."
2025-08-04,"August 4, 2025, 9:25 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,a474e4d82db475ec1fd69256f91819ad,"Bearish

Key indicators:
- Major indices closed down significantly on Friday (S&P 500 -1.60%, Dow -1.23%, Nasdaq -2.24%)
- Disappointing jobs report with only 73,000 jobs added vs. 102,000 expected, plus dramatic downward revisions of 258,000 for prior months
- Investors rotating into defensive utility stocks as a safe haven, indicating risk-off sentiment"
2025-08-05,"August 5, 2025, 9:25 a.m. ET",Bullish,anthropic,claude-opus-4-20250514,487bfcebc12fd562fed941dbf58d2525,"Bullish

Key indicators:
- Major indices up significantly (S&P +1.47%, Dow +1.34%, Nasdaq +1.95%)
- Technology sector leading gains with strong earnings from Palantir
- Rising expectations for September Fed rate cut following weak jobs data"
2025-08-06,"August 6, 2025, 9:11 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,2a052c6c416750e55b4088f40f551307,"Bearish

Key indicators:
- Major indices all declined (S&P 500 -0.49%, Dow -0.14%, Nasdaq -0.65%)
- S&P 500 fell for fifth session in six amid tariff and job market worries
- Technical breakdown below key 6,300 support level threatens further selling"
2025-08-07,"August 7, 2025, 9:11 a.m. ET",Bullish,anthropic,claude-opus-4-20250514,feeebbfeca4d7166756b701c3b1bf2a1,"Bullish

Key indicators:
- Major indexes posted gains (S&P 500 +0.73%, Dow +0.18%, Nasdaq +1.21%) with markets taking new tariffs ""in stride""
- Fed speakers sounding ""more dovish"" with growing expectations for rate cuts due to slowing job growth
- Positive sentiment from China's better-than-expected trade data and Apple's strong 5%+ gain on new U.S. investment plans"
2025-08-08,"August 8, 2025, 9:30 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,7b60593378225c78e03d38cf9b7ab5fd,"Bearish

Key indicators:
- VIX futures showing elevated volatility expectations (October VIX at 21 vs spot at 17), indicating market participants expect increased turbulence ahead
- Wall Street's inability to hold gains with most sessions starting higher but ending with selling pressure
- Analyst warning of higher-than-average odds for a 3-7% market pullback"
2025-08-11,"August 11, 2025, 9:09 a.m. ET",Mixed,anthropic,claude-opus-4-20250514,8a0c60c7c1b94b209941617819f32445,"Mixed

Key indicators:
- Market caught between bullish AI/tech earnings momentum and bearish concerns over tariffs and economic data
- S&P 500 trading in narrow range (6,300-6,400) with resistance at highs and support at lows
- Conflicting signals with strong tech performance but weakening jobs/manufacturing data and tariff uncertainty"
2025-08-12,"August 12, 2025, 9:10 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,0d727157b0db27ea56315680e7bf4552,"Bearish

Key indicators:
- Major indices all declined (S&P 500 -0.25%, Dow -0.45%, Nasdaq -0.30%) with selling accelerating in the final hour
- Core CPI inflation rose to 3.1% annually (above expectations of 3%), suggesting inflation progress has stalled
- Defensive sector rotation evident with only consumer staples finishing positive, indicating risk-off sentiment"
2025-08-13,"August 13, 2025, 9:12 a.m. ET",Bullish,anthropic,claude-opus-4-20250514,75386fa8776c49bdedb487ca6b5f96a0,"Bullish

Key indicators:
- S&P 500 hit its 16th record high of the year with major indexes building on record gains
- Volatility (VIX) fell to its lowest level since end of 2024, indicating market confidence
- 98% probability of Fed rate cut in September following in-line CPI data at 2.7% YoY"
2025-08-14,"August 14, 2025, 9:22 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,98febb4cf77b1737a770a741ae136c4f,"Bearish

Key indicators:
- July PPI jumped 0.9% vs 0.2% expected, the highest since 2022, raising inflation concerns
- Treasury yields rose and stocks slipped on the inflation data, suggesting market concern about delayed rate cuts
- Only 24% of S&P 500 stocks outperforming the index despite new highs indicates weak market breadth"
2025-08-18,"August 18, 2025, 9:04 a.m. ET",Mixed,anthropic,claude-opus-4-20250514,cde96fa1143d5bfad377e93d9404fe2d,"Mixed

Key indicators:
- Conflicting signals with major indexes wavering overnight (rising early then losing ground) and mixed sector performance
- Positive market breadth (60% of S&P 500 above 50-day moving averages) contrasted with tech sector weakness and disappointing outlooks from CSCO and AMAT
- Strong earnings beat rate (82% of S&P 500 companies surpassing estimates) offset by concerning economic data from China and plunging shipping rates"
2025-08-19,"August 19, 2025, 9:08 a.m. ET",Mixed,anthropic,claude-opus-4-20250514,3e3fb5636ad07b9cbe00c2406462d914,"Mixed

Key indicators:
- Conflicting economic signals with housing starts jumping sharply but building permits falling to cycle lows
- Market breadth shows divergence with over 60% of S&P 500 stocks above 200-day moving averages, yet less than one-third outperformed the index in the last 60 days
- Cautious ""wait-and-see"" tone ahead of Fed Chairman Powell's speech, with major indexes edging mostly lower despite some positive underlying metrics"
2025-08-20,"August 20, 2025, 9:08 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,98e438987e209ab8f4d05b7e491e224d,"Bearish

Key indicators:
- Tech sector experienced significant selloff with major names like Palantir (-9%), Oracle, AMD, Broadcom, and Nvidia all down 3% or more
- Major indexes dipped again in early trading following Tuesday's ""tech washout""
- Market uncertainty ahead of Fed minutes release and Powell's upcoming speech on Friday"
2025-08-21,"August 21, 2025, 9:11 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,df6864c6a5d2bab3562581be393561cf,"Bearish

Key indicators:
- Major indexes declined for fifth straight session with tech sector under continued pressure
- Nasdaq-100 fell four consecutive sessions and dropped below its 20-day moving average
- Market volatility rising ahead of Fed Chair Powell's Jackson Hole speech amid policy uncertainty"
2025-08-22,"August 22, 2025, 9:14 a.m. ET",Mixed,anthropic,claude-opus-4-20250514,97c4f8f361584346d663ee8e95ae5e8d,"Mixed

Key indicators:
- Tech sector weakness causing S&P 500's first 5-session losing streak since January, despite recent record highs
- Conflicting signals with Fed officials expressing hesitance about rate cuts while markets still expect September cut
- Global PMI improvements across all regions suggesting economic strength, which could complicate central bank easing decisions"
2025-08-27,"August 27, 2025, 9:09 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,af3610c893f8b4a2544f187ffd82fdcf,"Bearish

Key indicators:
- Federal Reserve independence concerns after Trump's attempt to fire Fed Governor Lisa Cook, which could erode confidence and push yields higher
- Tariffs raised to 50% on imports from India, signaling escalating trade tensions
- Market uncertainty reflected in sideways trading ahead of Nvidia earnings, with history showing shares fell in 4 of 11 earnings beats"
2025-08-28,"August 28, 2025, 9:14 a.m. ET",Mixed,anthropic,claude-opus-4-20250514,1d3b99ee81de2cb9cf1ad841a20c93d1,"Mixed

Key indicators:
- Major indices showing slight gains (+0.21% to +0.32%) but tech sector under pressure from Nvidia's disappointing data center growth
- Market breadth positive with 70% of S&P 500 members advancing and new record high, yet jobless claims data shows workers struggling to find employment
- August traditionally weak but currently up 2.2%, though uncertainty remains ahead of tomorrow's PCE inflation data"
2025-08-29,"August 29, 2025, 9:14 a.m. ET",Bullish,anthropic,claude-opus-4-20250514,62e1349b6d960acd246b01f946b7c234,"Bullish

Key indicators:
- S&P 500 hit new all-time high above 6,500 for the first time
- Inflation data (PCE) came in exactly as expected, giving Fed ""green light to cut rates""
- Major indexes showing positive momentum with S&P 500 up 10% since May and semiconductor index up 21% over three months"
2025-09-02,"September 2, 2025, 9:14 a.m. ET",Bearish,anthropic,claude-opus-4-20250514,1a765b948c9624be9ae6e57d0ed2d80e,"Bearish

Key indicators:
- Tech sector slumping with Nvidia down 3%+ and broader tech weakness amid AI demand concerns
- Treasury yields and volatility spiking on tariff ruling uncertainty
- Risk-off trading dominating with defensive sectors (staples, healthcare) outperforming growth sectors"
2025-09-03,"September 3, 2025, 9:10 a.m. ET",Mixed,anthropic,claude-opus-4-20250514,3a14b42144493f61864ddd82525dde19,"Mixed

Key indicators:
- Positive tech sentiment from Google court ruling lifting GOOGL +6% and helping AAPL
- Rising Treasury yields with 30-year touching 5% amid fiscal/tariff concerns pressuring stocks
- Elevated volatility and Tuesday's market retreat offsetting some earnings-driven gains"
